title,price_raw,area_raw,address,description,phone,image,source_url,source_name,crawled_at,price_million,area_m2,ward,room_type,has_dieu_hoa,has_khep_kin,has_ban_cong,has_thang_may,has_full_do,has_gac,has_may_giat,has_nong_lanh,has_wifi,has_de_xe,number_of_amenities,unit_price
"Địa chỉ : 16/97 Khương Trung - Thanh Xuân 
Trống phòng tầng 6 . 1/7 vào",4400000,25.0,"16/97 Đường Khương Trung, Phường Khương Đình, Hà Nội",Địa chỉ : 16/97 khương trung - Thanh Xuân Trống phòng tầng 6 . 1/7 vào Giá thuê : 4tr4 Nội thất Full đồ như… - 708775,0899954229,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/06/25/gen-h-z7975752420335-e75732a5071ec589bd29ff86bb7b8abd_1782393402.jpg,https://phongtro123.com/dia-chi-16-97-khuong-trung-thanh-xuan-trong-phong-tang-6-1-7-vao-pr708775.html,phongtro123.com,2026-07-05T15:11:44.385653+00:00,4.4,25.0,Khương Đình,phong_tro,0,0,0,0,1,0,0,0,0,0,1,0.176
"Địa chỉ : 77 Bùi Xương Trạch - Thanh Xuân 
Trống 5 phòng ở luôn",4800000,25.0,"77 Đường Bùi Xương Trạch, Phường Khương Đình, Hà Nội","Địa chỉ : 77 Bùi Xương Trạch - Thanh Xuân Trống 5 phòng ở luôn Giá thuê : 4tr8 Nội thất. Điều hòa, nóng… - 708774",0899954229,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/06/25/gen-h-z7975774910362-1e04411a918d4e8c42c64b1f5a124db1_1782392984.jpg,https://phongtro123.com/dia-chi-77-bui-xuong-trach-thanh-xuan-trong-5-phong-o-luon-pr708774.html,phongtro123.com,2026-07-05T15:11:44.385653+00:00,4.8,25.0,Khương Đình,phong_tro,1,0,0,0,0,0,0,0,0,0,1,0.192
"Phòng rộng tại Triều Khúc cho hộ gia đình, nhóm bạn thuê",4600000,38.0,"Đường Triều Khúc, Phường Thanh Liệt, Hà Nội","Phòng rộng vào ở luôn cho hộ gia đình , nhóm người đi làm thuê,tại ngõ 83 Tân Triều, Triều Khúc. Phòng rộng… - 708094",0912216086,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/06/10/anh-1_1781087198.jpg,https://phongtro123.com/phong-rong-tai-trieu-khuc-cho-ho-gia-dinh-nhom-ban-thue-pr708094.html,phongtro123.com,2026-07-05T15:11:44.385653+00:00,4.6,38.0,Thanh Liệt,phong_tro,0,0,0,0,0,0,0,0,0,0,0,0.1210526315789473
[TRƯỜNG CHINH] CĂN HỘ DỊCH VỤ SẴN ĐỒ - GIÁ CHỈ TỪ 3TR,3000000,20.0,"C31, ngõ 109 Đường Trường Chinh, Phường Phương Liệt, Hà Nội","Tiện ích: Sẵn giường nệm, tủ quần áo lớn, kệ để đồ, điều hòa Vị trí: Khu vực trung tâm Trường Chinh, ngõ… - 708721",0378947518,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/06/24/img-2966_1782308348.jpg,https://phongtro123.com/truong-chinh-can-ho-dich-vu-san-do-gia-chi-tu-3tr-pr708721.html,phongtro123.com,2026-07-05T15:11:44.385653+00:00,3.0,20.0,Phương Liệt,can_ho,1,0,0,0,0,0,0,0,0,0,1,0.15
phòng trọ phòng mới Thanh Xuân,4500000,25.0,"ngõ 100 Đường Nguyễn Xiển, Phường Thanh Xuân, Hà Nội","️ Địa chỉ: ngõ 100 Nguyễn Xiển, cách ngã tư Nguyễn Trãi - Khuất Duy Tiến 300m, cách các trường đại học Hà Nội,… - 708698",0378188031,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/06/24/z7908335607163-42aab7da74a3dc24b2090b2ecb741330_1782278705.jpg,https://phongtro123.com/phong-tro-phong-moi-thanh-xuan-pr708698.html,phongtro123.com,2026-07-05T15:11:44.385653+00:00,4.5,25.0,Thanh Xuân,phong_tro,0,0,0,0,0,0,0,0,0,0,0,0.18
PHAN ĐÌNH GIÓT | THANH XUÂN - GẦN BKX • CỬA SỔ LỚN • FULL ĐỒ • PHÒNG THOÁNG RỘNG – 4TR6,4600000,26.0,"Đường Phan Đình Giót, Phường Phương Liệt, Hà Nội","PHAN ĐÌNH GIÓT | THANH XUÂN GẦN BKX • CỬA SỔ LỚN • FULL ĐỒ • PHÒNG THOÁNG RỘNG – 4TR6 Ngõ nông, gần phố –… - 708633",0374896992,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/06/23/z7965193657411-cb40019c2c5254a02d2476981ec08266_1782177380.jpg,https://phongtro123.com/phan-dinh-giot-thanh-xuan-gan-bkx-cua-so-lon-full-do-phong-thoang-rong-4tr6-pr708633.html,phongtro123.com,2026-07-05T15:11:44.385653+00:00,4.6,26.0,Phương Liệt,phong_tro,0,0,0,0,1,0,0,0,0,0,1,0.1769230769230769
"PHÒNG TRỌ SẠCH ĐẸP, KHÉP KÍN, GIÁ RẺ – QUAN NHÂN, THANH XUÂN",2800000,15.0,"55A, ngõ 145 Phố Quan Nhân, Phường Thanh Xuân, Hà Nội","PHÒNG TRỌ KHÉP KÍN, GIÁ RẺ Địa chỉ: Ngõ 145 phố Quan Nhân, phường Thanh Xuân, Hà Nội (khu Nhân Chính cũ). … - 708615",0913344468,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/06/22/img-6852_1782120920.jpg,https://phongtro123.com/phong-tro-sach-dep-khep-kin-gia-re-quan-nhan-thanh-xuan-pr708615.html,phongtro123.com,2026-07-05T15:11:44.385653+00:00,2.8,15.0,Thanh Xuân,phong_tro,0,1,0,0,0,0,0,0,0,0,1,0.1866666666666666
GIẢM GIÁ 1TR - CHO THUÊ PHÒNG FULL ĐỒ KHÉP KÍN 3.300k TẠI 192 KIM GIANG ( Giảm ngay 1 Tr ),3300000,25.0,"192 Đường Kim Giang, Phường Khương Đình, Hà Nội",Cơ sở 1 Ngõ 192 Kim Giang vẫn còn phòng CCMN nhé ạ GIÁ CCMN CHỈ 3300K/1 PHÒNG KHÉP KÍN ( KHÔNG GIỚI HẠN SỐ… - 682100,0982136668,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2025/05/20/z3527691680463-5c39e13abcfc2d8d2e033dd2fc92d580_1747713496.jpg,https://phongtro123.com/cho-thue-ccmn-full-do-khep-kin-3-3tr-tai-192-kim-giang-2-pr682100.html,phongtro123.com,2026-07-05T15:11:44.385653+00:00,3.3,25.0,Khương Đình,can_ho_mini,0,1,0,0,1,0,0,0,0,0,2,0.132
"Phòng trọ ngõ 22 phố Phan Đình Giót, đường Giải Phóng",3000000,25.0,"Đường Phan Đình Giót, Phường Phương Liệt, Hà Nội","Chính chủ cho thuê phòng trọ, không chung chủ, giờ giấc thoải mái, vệ sinh riêng khép kín, chỗ để xe tầng 1 rộng… - 708155",0389117293,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/06/12/anh2_1781236478.png,https://phongtro123.com/phong-tro-ngo-22-pho-phan-dinh-giot-duong-giai-phong-pr708155.html,phongtro123.com,2026-07-05T15:11:44.385653+00:00,3.0,25.0,Phương Liệt,phong_tro,0,1,0,0,0,0,0,0,0,1,2,0.12
"Sẵn phòng ở luôn, ngõ 129 Nguyễn Trãi ( đối diện Royal city), diện tích 22m, giá 4.5tr",4500000,22.0,"ngõ 129 Đường Nguyễn Trãi, Phường Khương Đình, Hà Nội","Sẵn phòng ở luôn, ngõ 129 Nguyễn Trãi ( đối diện Royal city), diện tích 22m, giá 4.5tr Đầy đủ đồ : điều hòa,… - 707467",0979834222,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/05/28/z7875120687628-048dfdf5bd8b0dbc81ac66499b49a195_1779957479.jpg,https://phongtro123.com/san-phong-o-luon-ngo-129-nguyen-trai-doi-dien-royal-city-dien-tich-22m-gia-4-5tr-pr707467.html,phongtro123.com,2026-07-05T15:11:46.240027+00:00,4.5,22.0,Khương Đình,phong_tro,1,0,0,0,0,0,0,0,0,0,1,0.2045454545454545
PHÒNG MỚI CỰC HOT TẠI 586 KIM GIANG – CHỈ TỪ 2.6TR!,2600000,25.0,"6C ngõ 586 Đường Kim Giang, Phường Khương Đình, Hà Nội","Giá thuê siêu hời: Tầng 1: 2.6tr | Tầng 2-3: 2.9tr | Tầng 4: 2.8tr Tầng 5: Khu giặt phơi riêng biệt, thoáng sáng. Ưu… - 706978",0962463964,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/05/18/z7837284299710-ce987281e08b54179b4b868397a4a26d_1779077101.jpg,https://phongtro123.com/phong-moi-cuc-hot-tai-586-kim-giang-chi-tu-2-8tr-pr706978.html,phongtro123.com,2026-07-05T15:11:46.240027+00:00,2.6,25.0,Khương Đình,phong_tro,0,0,0,0,0,0,0,0,0,0,0,0.104
CCMN KHÉP KÍN FULL NỘI THẤT 20M2 - TỪ 3TR7/THÁNG,3700000,20.0,"Đường Khương Đình, Phường Khương Đình, Hà Nội","Dọn vào ở ngay - nhà mới - Diện tích rộng 20m2, thiết kế khép kín riêng tư - Full nội thất - Thang máy hiện… - 707064",0915228555,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/05/20/12_1779248047.jpg,https://phongtro123.com/ccmn-khep-kin-full-noi-that-20m2-tu-3tr7-thang-pr707064.html,phongtro123.com,2026-07-05T15:11:46.240027+00:00,3.7,20.0,Khương Đình,can_ho_mini,0,1,0,1,1,0,0,0,0,1,4,0.185
STUDIO FULL NỘI THẤT – BAN CÔNG RIÊNG – KHÔNG CHUNG CHỦ | THANH XUÂN – GẦN GIẢI PHÓNG,4300000,30.0,"106 ngõ 1 Đường Phan Đình Giót, Phường Phương Liệt, Hà Nội","Địa chỉ: Ngõ 1 Phan Đình Giót – cách Đường Giải Phóng vài bước chân, đi lại cực thuận tiện. Giá chỉ: 4.3… - 706992",0942721906,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/05/18/p033_1779097810.jpg,https://phongtro123.com/studio-full-noi-that-ban-cong-rieng-khong-chung-chu-thanh-xuan-gan-giai-phong-pr706992.html,phongtro123.com,2026-07-05T15:11:46.241038+00:00,4.3,30.0,Phương Liệt,can_ho_mini,0,0,1,0,1,0,0,0,0,0,2,0.1433333333333333
Cho thuê studio Triều Khúc 38m2 vào ở luôn,4000000,38.0,"Số 58 ngõ 83 Đường Tân Triều ,Triều Khúc Đường Triều Khúc, Phường Thanh Liệt, Hà Nội","Phòng STUDIO cho hộ gia đình ,người đi làm thuê,tại ngõ 83 Triều Khúc, Phòng rộng 38m².không chung chủ,giờ giấc tự… - 622755",0912216086,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2023/04/19/anh-1_1681897645.jpg,https://phongtro123.com/cho-thue-studio-trieu-khuc-38m2-vao-o-luon-pr622755.html,phongtro123.com,2026-07-05T15:11:46.241038+00:00,4.0,38.0,Thanh Liệt,can_ho_mini,0,0,0,0,0,0,0,0,0,0,0,0.1052631578947368
PHÒNG TRỌ KHÉP KÍN - SẠCH- ĐẸP PHỐ BÙI XƯƠNG TRẠCH,4000000,20.0,"ngõ 358 Đường Bùi Xương Trạch, Phường Khương Đình, Hà Nội","Phòng diện tích khoảng 20m2, có gác xép, sạch sẽ, thoáng mát, nằm trong khu bộ đội an ninh tốt, dân trí cao, yên… - 706792",0983227386,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/05/14/phong-tro-2_1778749058.jpg,https://phongtro123.com/phong-tro-khep-kin-sach-dep-pho-bui-xuong-trach-3-pr706792.html,phongtro123.com,2026-07-05T15:11:46.241038+00:00,4.0,20.0,Khương Đình,phong_tro,0,1,0,0,0,1,0,0,0,0,2,0.2
CHÍNH CHỦ CHO THUÊ PHÒNG TRỌ GIÁ RẺ,2500000,18.0,"Số 2 ngách 3 ngõ 49 Phố Vũ Tông Phan, Phường Khương Đình, Hà Nội","Nhà thoáng mát, không ở chung với chủ. Giờ giấc tự do thoải mái như nhà mình. Có đồng hồ điện, nước riêng.… - 706618",0969054576,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/05/12/5f2eb809a51a24447d0b4_1778555120.jpg,https://phongtro123.com/chinh-chu-cho-thue-phong-tro-gia-re-11-pr706618.html,phongtro123.com,2026-07-05T15:11:46.241038+00:00,2.5,18.0,Khương Đình,phong_tro,0,0,0,0,0,0,0,0,0,0,0,0.1388888888888889
"Cho Thuê CCMN 3,3TR Khép Kín Full Đồ và Máy Giặt Máy Sấy Tại 192 Kim Giang",3300000,30.0,"Ngõ 192 Đường Kim Giang, Phường Khương Đình, Hà Nội",Cơ sở 1 Ngõ 192 Kim Giang vẫn còn phòng CCMN nhé ạ GIÁ CCMN CHỈ 3TR6/1 PHÒNG KHÉP KÍN ( KHÔNG GIỚI HẠN SỐ… - 602927,0982136668,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2023/03/13/z3890356541633-84d2be345b9c751261718a7a1497e7dd_1678688835.jpg,https://phongtro123.com/cho-thue-phong-tro-homestay-khep-kin-o-ngo-192-kim-giang-pr602927.html,phongtro123.com,2026-07-05T15:11:46.241038+00:00,3.3,30.0,Khương Đình,can_ho_mini,0,1,0,0,1,0,1,0,0,0,3,0.11
CHO THUÊ PHÒNG TRỌ FULL NỘI THẤT MỚI,4300000,30.0,"106 ngõ 1 Đường Phan Đình Giót, Phường Phương Liệt, Hà Nội","Không chung chủ, chỗ để xe thoải mái, nhà mới khai trương, nội thất đầy đủ, wifi, bình nóng lạnh, máy lọc… - 703996",0942721906,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/03/31/tang-1_1774946134.jpg,https://phongtro123.com/cho-thue-phong-tro-full-noi-that-moi-pr703996.html,phongtro123.com,2026-07-05T15:11:46.241038+00:00,4.3,30.0,Phương Liệt,phong_tro,0,0,0,0,1,0,0,1,1,1,4,0.1433333333333333
4.1tr Studio Full đồ 619 Vũ Tông Phan (358/109 Bùi Xương Trạch),4100000,20.0,"11D ngõ 619 Phố Vũ Tông Phan, Phường Khương Đình, Hà Nội",Ở LUÔN THÁNG 5 ƯU ĐÃI chỉ 2.5tr Từ tháng 6 ️4.1tr - STUDIO FULL ĐỒ Ngõ 619 Vũ Tông Phan (thông 358 Bùi Xương… - 706266,0988002968,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/05/05/img-9065_1777987514.jpg,https://phongtro123.com/4-1tr-studio-full-do-619-vu-tong-phan-358-109-bui-xuong-trach-pr706266.html,phongtro123.com,2026-07-05T15:11:46.241038+00:00,4.1,20.0,Khương Đình,can_ho_mini,0,0,0,0,1,0,0,0,0,0,1,0.205
"Cho thuê Studio Hoàng Ngân gần Láng Hạ full nội thất, có ban công",4300000,30.0,"101 Đường Hoàng Ngân, Phường Thanh Xuân, Hà Nội","Diện tích : 30m² • Full nội thất • Có ban công gần Láng Hạ, Lê Văn Lương, Nguyễn Trãi - Phòng đầy đủ điều… - 703142",0382967639,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/03/17/z6604602798656-89471215b611b4c28971a03cf39a6723_1773741022.jpg,https://phongtro123.com/cho-thue-studio-hoang-ngan-gan-lang-ha-full-noi-that-co-ban-cong-pr703142.html,phongtro123.com,2026-07-05T15:11:46.241038+00:00,4.3,30.0,Thanh Xuân,can_ho_mini,0,0,1,0,1,0,0,0,0,0,2,0.1433333333333333
PHÒNG ĐẸP PHAN ĐÌNH GIÓT – 5TR - FULL ĐỒ – CỬA SỔ TO – THOÁNG SÁNG,5000000,25.0,"Đường Phan Đình Giót, Phường Phương Liệt, Hà Nội","PHÒNG ĐẸP PHAN ĐÌNH GIÓT – 5TR FULL ĐỒ – CỬA SỔ TO – THOÁNG SÁNG Vị trí cực đẹp – ngõ nông, gần phố ️… - 704016",0374896992,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/03/31/z5268566835874-cbef46852605c46c924ad89241b2bf2b_1774974122.jpg,https://phongtro123.com/phong-dep-phan-dinh-giot-5tr-full-do-cua-so-to-thoang-sang-pr704016.html,phongtro123.com,2026-07-05T15:11:46.241038+00:00,5.0,25.0,Phương Liệt,phong_tro,0,0,0,0,1,0,0,0,0,0,1,0.2
"VƯƠNG THỪA VŨ, THANH XUÂN 5TR - FULL ĐỒ - MÁY GIẶT RIÊNG - PCCC ĐẦY ĐỦ.",5000000,30.0,"Đường Vương Thừa Vũ, Phường Khương Đình, Hà Nội","VƯƠNG THỪA VŨ, THANH XUÂN 5TR - FULL ĐỒ - MÁY GIẶT RIÊNG - PCCC ĐẦY ĐỦ. Phí dịch vụ rẻ hơn mặt bằng chung. PCCC… - 704010",0374896992,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/03/31/6c6130af92fc48a211ed18_1774967879.jpg,https://phongtro123.com/vuong-thua-vu-thanh-xuan-5tr-full-do-may-giat-rieng-pccc-day-du-pr704010.html,phongtro123.com,2026-07-05T15:11:46.241038+00:00,5.0,30.0,Khương Đình,phong_tro,0,0,0,0,1,0,1,0,0,0,2,0.1666666666666666
KHƯƠNG HẠ 4TR5 - FULL ĐỒ - MÁY GIẶT RIÊNG - BAN CÔNG - CỰC THOÁNG.,4500000,30.0,"Phố Khương Hạ, Phường Khương Đình, Hà Nội","KHƯƠNG HẠ, THANH XUÂN - NGÃ TƯ SỞ 4TR5 FULL ĐỒ - MÁY GIẶT RIÊNG - BAN CÔNG - CỰC THOÁNG. Phí dịch vụ rẻ hơn mặt… - 704796",0374896992,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/04/11/e74f7ee1888a45d41c9b_1775879782.jpg,https://phongtro123.com/khuong-ha-4tr5-full-do-may-giat-rieng-ban-cong-cuc-thoang-pr704796.html,phongtro123.com,2026-07-05T15:11:46.241038+00:00,4.5,30.0,Khương Đình,phong_tro,0,0,1,0,1,0,1,0,0,0,3,0.15
"Cần cho thuê gấp phòng ở tại ngõ 110 Quan Nhân,Hà Nội, full nội thất, khép kín, không chung chủ",3700000,30.0,"Ngõ 110 Phố Quan Nhân, Phường Thanh Xuân, Hà Nội","[CHO THUÊ] PHÒNG TRỌ KHÉP KÍN 30M2 - NGÕ 110 QUAN NHÂN - FULL ĐỒ, GIỜ GIẤC TỰ DO Hiện tại mình còn trống 01 phòng duy… - 597104",0981410696,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/04/26/1646845190768_1777136646.jpg,https://phongtro123.com/can-cho-thue-gap-phong-o-tai-phuong-nhan-chinh-thanh-xuan-pr597104.html,phongtro123.com,2026-07-05T15:11:46.241038+00:00,3.7,30.0,Thanh Xuân,phong_tro,0,1,0,0,1,0,0,0,0,0,2,0.1233333333333333
"Cho thuê phòng chính chủ 1,85 triệu/tháng Khương Đình, Quận Thanh Xuân",1850000,20.0,"Đường Bùi Xương Trạch, Phường Khương Đình, Hà Nội",Tôi có nhu cầu cho thuê phòng chính chủ khép kín tại Ngõ 1 Bùi Xương Trạch khương đình thanh xuân hà nội. - Phòng… - 705783,0915154036,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/04/25/1774938321285_1777103835.jpg,https://phongtro123.com/cho-thue-phong-chinh-chu-1-85-trieu-thang-khuong-dinh-thanh-xuan-pr705783.html,phongtro123.com,2026-07-05T15:11:46.241038+00:00,1.85,20.0,Khương Đình,phong_tro,0,1,0,0,0,0,0,0,0,0,1,0.0925
